Station ID,Station Name,Owner,Latitude,Longitude,Sensor
48212,Harrison Bay (Shell Arctic),Shell Arctic,70.874,-150.279,AirtemperatureBarometricpressureWatertemperatureWavesWinds
48213,Burger,Shell Arctic,71.502,-164.133,AirtemperatureBarometricpressureWatertemperatureWavesWinds
48214,Klondike (MOB1),Shell Arctic,70.872,-165.248,AirtemperatureBarometricpressureWatertemperatureWavesWinds
48216,Crackerjack (Shell Arctic),Shell Arctic,71.758,-167.952,AirtemperatureBarometricpressureWatertemperatureWavesWinds
51000,NORTHERN HAWAII ONE - 245NM NE of Honolulu HI,NDBC,23.538,-153.808,AirtemperatureBarometricpressureWatertemperatureWavesWinds
51001,NORTHWESTERN HAWAII ONE - 170 NM West Northwest of Kauai Island,NDBC,24.417,-162.1,AirtemperatureBarometricpressureWatertemperatureWinds
51002,"SOUTHWEST HAWAII - 215NM SSW of Hilo, HI",NDBC,17.037,-157.696,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
51003,"WESTERN  HAWAII - 205 NM SW of Honolulu, HI",NDBC,19.289,-160.569,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
51004,"SOUTHEAST HAWAII - 205 NM Southeast of Hilo, HI",NDBC,17.602,-152.395,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
51006,9N 140W,NDBC,9.0,-140.0,WatertemperatureWinds
51007,5N 140W,NDBC,5.0,-140.0,WatertemperatureWinds
51008,2N 140W,NDBC,2.0,-140.0,WatertemperatureWinds
51009,2S 140W,NDBC,-2.0,-140.0,WatertemperatureWinds
51010,0 170W,NDBC,0.0,-170.0,WatertemperatureWinds
51011,0 125W,NDBC,0.0,-125.0,WatertemperatureWinds
51014,5S 140W,NDBC,-5.0,-140.0,WatertemperatureWinds
51015,5N 125W,NDBC,5.0,-125.0,WatertemperatureWinds
51016,2N 125W,NDBC,2.0,-125.0,WatertemperatureWinds
51017,2S 125W,NDBC,-2.0,-125.0,WatertemperatureWinds
51018,5S 125W,NDBC,-5.0,-125.0,WatertemperatureWinds
51019,5S 155W,NDBC,-5.0,-155.0,WatertemperatureWinds
51020,5N 155W,NDBC,5.0,-155.0,WatertemperatureWinds
51021,2N 155W,NDBC,2.0,-155.0,WatertemperatureWinds
51022,2S 155W,NDBC,-2.0,-155.0,WatertemperatureWinds
51023,0 155W,NDBC,0.0,-155.0,WatertemperatureWinds
51028,Christmas Island,NDBC,0.0,-153.913,WatertemperatureWinds
51100,"NORTHERN HAWAII TWO - 252NM NE of Honolulu, HI",NDBC,23.558,-153.9,AirtemperatureBarometricpressureWatertemperatureWavesWinds
51101,"NORTHWESTERN HAWAII TWO - 190NM NW of Kauai Is, HI",NDBC,24.318,-162.231,AirtemperatureBarometricpressureWatertemperatureWavesWinds
51301,8N 155W,NDBC,8.0,-155.0,WatertemperatureWinds
51302,8S 155W,NDBC,-8.0,-155.0,WatertemperatureWinds
