lon,lat,elev_m,vdatum,elev_msl_m
-82.199409,28.52656,17.413224,NAVD88,17.3940541311
-81.782826,26.342165,1.679448,NAVD88,1.5370187674
-81.895661,26.992556,4.151376,NAVD88,4.0143280983
-81.65154,26.71798,1.594104,NAVD88,1.4373468837
-81.2925,29.88611,1.816608,NAVD88,1.6674393447
-81.873162,30.076892,5.910072,NAVD88,5.9084471273
-81.560856,30.135162,2.04216,NAVD88,2.0131655217
-81.31694,29.91806,1.667256,NAVD88,1.5183029645
-81.869277,30.042145,7.412736,NAVD88,7.4119120874
-81.826059,26.339223,1.2954,NAVD88,1.1627027903
-81.873188,30.051501,7.1628,NAVD88,7.1617170436
-81.29,29.91556,1.61544,NAVD88,1.445896242
-81.572886,30.13287,1.895856,NAVD88,1.8708222913
-81.66605,26.72802,3.410712,NAVD88,3.2556091957
-81.29833,29.92222,1.240536,NAVD88,1.0729255931
-81.61055,26.71402,1.389888,NAVD88,1.228258949
-81.858391,30.009222,9.704832,NAVD88,9.7046954381
-81.816383,26.33751,1.149096,NAVD88,1.0127173988
-81.556512,30.140924,2.130552,NAVD88,2.1003457854
-81.8863,26.975106,3.450336,NAVD88,3.3107800987
-81.3075,29.94111,1.2192,NAVD88,1.0633242874
-81.799522,26.343294,1.301496,NAVD88,1.1637102971
-81.768347,26.329306,2.938272,NAVD88,2.7907838083
-81.818006,30.06902,3.736848,NAVD88,3.7393577004
-81.7674434,30.1137205,1.78308,NAVD88,1.7961611976
-81.79694,30.08472,2.706624,NAVD88,2.7118144009
-82.6903,28.216,5.4864,NAVD88,5.4049745344
-81.730354,26.332524,4.54152,NAVD88,4.3877750789
-82.7009,28.2133,3.803904,NAVD88,3.7202069715
-82.7009,28.20987,3.105912,NAVD88,3.0225735754
-81.26917,29.79472,1.932432,NAVD88,1.8194855791
-82.67414,28.21184,6.611112,NAVD88,6.5342650353
-81.851518,29.99258,10.692384,NAVD88,10.6924494723
-81.891451,30.097214,7.263384,NAVD88,7.2600539879
-81.880928,30.038222,7.62,NAVD88,7.618917458
-81.76022,30.11811,1.84404,NAVD88,1.8567335756
-81.50611,29.72056,0.96012,NAVD88,0.9401957207
-81.794375,30.097514,2.642616,NAVD88,2.6487410096
-81.26306,29.78389,1.642872,NAVD88,1.5278677436
-66.41164,18.48933,2.535936,PRVD02,2.535936
-65.82961,18.42342,2.1841968,PRVD02,2.1841968
-66.3384754,18.4827495,1.78308,PRVD02,1.78308
-66.28442,18.47186,1.862328,PRVD02,1.862328
-66.1586599,18.4520531,2.9718,PRVD02,2.9718
-66.17667,18.45308,3.486912,PRVD02,3.486912
-66.2466307,18.4704015,4.194048,PRVD02,4.194048
-66.4499,18.4703,4.346448,PRVD02,4.346448
-66.140869,18.463954,1.3673328,PRVD02,1.3673328
-66.39216,18.48872,3.6033456,PRVD02,3.6033456
-65.8717676,18.0056074,2.2472904,PRVD02,2.2472904
